Acronym,Brain Region,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,1000_annotation_measurements,1001_annotation_measurements,4524_annotation_measurements,4525_annotation_measurements,4526_annotation_measurements,4527_annotation_measurements,4528_annotation_measurements,4530_annotation_measurements,4531_annotation_measurements,4532_annotation_measurements,4533_annotation_measurements,4634_annotation_measurements,4635_annotation_measurements,4636_annotation_measurements,4637_annotation_measurements,4657_annotation_measurements,4658_annotation_measurements,4659_annotation_measurements,4660_annotation_measurements,4689_annotation_measurements,4690_annotation_measurements,4691_annotation_measurements,4692_annotation_measurements,4702_annotation_measurements,4703_annotation_measurements,4704_annotation_measurements,4705_annotation_measurements,4707_annotation_measurements,4708_annotation_measurements,4709_annotation_measurements,4710_annotation_measurements,5366_annotation_measurements,5368_annotation_measurements,5369_annotation_measurements,5370_annotation_measurements,5373_annotation_measurements,5374_annotation_measurements,5375_annotation_measurements,5875_annotation_measurements,5876_annotation_measurements
RT,Reticular nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Reticular nucleus of the thalamus,,,,28.55,15.36,54.89,62.09,9.54,61.61,56.31,101.27,124.8,25.45,34.58,70.08,42.63,78.25,200.92,123.45,103.03,103.0,73.94,41.03,18.69,18.75,20.34,185.34,23.28,123.44,138.73,56.85,17.1,39.19,31.15,73.84,59.25,36.17,42.8,20.92,8.25,42.31,17.23,40.62
IGL,Intergeniculate leaflet of the lateral geniculate complex,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related","Geniculate group, ventral thalamus",Intergeniculate leaflet of the lateral geniculate complex,,,182.12,94.76,303.35,267.69,46.07,567.81,345.47,259.67,315.55,360.66,216.38,496.87,247.47,81.81,1176.21,635.4,491.82,349.62,531.65,557.73,288.03,294.04,188.34,962.49,690.37,184.28,140.13,592.98,283.12,401.82,256.45,621.03,161.4,536.25,296.18,415.82,67.98,131.4,366.24,323.19
IntG,Intermediate geniculate nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related","Geniculate group, ventral thalamus",Intermediate geniculate nucleus,,,103.07,178.0,100.5,448.7,28.57,558.5,174.15,265.97,140.96,272.41,9.91,221.85,254.64,85.94,498.01,256.89,589.42,228.38,295.39,194.16,392.53,256.69,222.5,768.83,174.58,0.0,77.02,226.48,232.23,110.66,106.57,399.19,282.84,184.82,280.84,249.71,17.3,325.0,376.61,180.05
LGv,Ventral part of the lateral geniculate complex,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related","Geniculate group, ventral thalamus",Ventral part of the lateral geniculate complex,,,219.87,151.13,158.66,272.34,58.49,693.51,282.75,200.5,255.64,273.61,187.11,607.01,199.05,57.7,1334.47,418.35,297.74,279.08,360.81,594.39,257.51,267.19,243.49,580.72,435.33,368.76,152.2,450.95,222.03,278.9,229.96,507.16,215.81,357.75,209.61,364.76,54.49,162.03,416.49,340.31
SubG,Subgeniculate nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related","Geniculate group, ventral thalamus",Subgeniculate nucleus,,,33.65,0.0,37.19,88.57,0.0,221.41,7.18,61.07,127.28,232.39,30.96,0.0,40.81,7.62,517.46,121.41,12.38,17.92,150.67,73.01,7.7,31.52,0.0,139.27,51.31,99.09,6.39,134.07,76.68,83.65,24.44,164.27,28.67,86.25,47.19,30.2,10.07,469.57,95.36,38.46
MH,Medial habenula,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Epithalamus,Medial habenula,,,18.58,11.91,21.41,48.28,24.23,31.86,36.44,29.21,49.96,34.51,54.37,34.82,22.6,205.46,27.52,72.61,48.5,36.92,74.49,43.77,25.06,38.5,43.23,44.11,33.21,69.25,25.2,117.8,30.75,20.82,30.83,13.21,14.63,25.52,9.36,21.32,12.26,221.75,17.89,12.06
LH,Lateral habenula,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, polymodal association cortex related",Epithalamus,Lateral habenula,,,21.46,47.93,94.71,157.75,51.88,266.3,104.91,150.04,183.87,223.9,131.99,191.67,103.32,135.55,293.27,304.22,159.45,129.45,325.04,113.89,132.77,67.66,116.1,231.47,77.75,159.35,153.91,114.07,70.02,159.01,115.59,171.02,106.2,62.19,145.52,117.58,9.23,44.88,50.49,36.21
SO,Supraoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular zone,Supraoptic nucleus,,,,93.9,18.51,234.95,328.48,29.78,43.97,247.52,346.76,250.89,75.87,143.44,202.26,158.53,46.39,172.03,61.31,330.38,376.85,227.82,86.89,41.81,76.47,74.49,463.91,110.68,172.29,502.18,149.4,182.5,73.53,122.75,121.61,156.48,111.43,78.23,13.54,52.27,60.56,159.68,33.29
ASO,Accessory supraoptic group,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular zone,Accessory supraoptic group,,,,65.46,908.64,984.23,406.56,61.34,54.55,1184.44,228.22,505.4,91.36,917.22,1065.85,674.08,,1185.78,1047.14,354.29,0.0,622.81,1197.73,526.7,,1066.02,1425.78,381.27,192.68,466.73,784.78,281.01,155.92,605.7,126.5,488.74,0.0,336.79,499.26,898.26,171.81,401.21,165.39
PVH,Paraventricular hypothalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular zone,Paraventricular hypothalamic nucleus,,,,87.92,81.8,221.13,727.2,144.36,225.73,235.13,303.0,436.44,384.25,223.7,298.41,186.8,208.93,651.94,316.16,451.82,479.87,462.05,252.98,189.57,121.13,261.65,589.31,218.6,523.84,547.18,266.38,177.11,486.56,193.87,312.0,159.86,156.84,98.08,339.64,120.54,241.78,104.87,99.79
PVa,"Periventricular hypothalamic nucleus, anterior part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular zone,"Periventricular hypothalamic nucleus, anterior part",,,,148.29,266.5,179.49,640.16,180.25,568.42,505.14,273.44,559.22,596.94,670.64,934.6,572.51,511.28,1030.21,403.55,971.45,937.99,593.86,545.83,408.76,322.92,397.79,1262.81,589.58,992.46,1001.91,414.12,536.33,875.52,508.09,425.72,958.65,509.91,313.81,416.97,15.83,128.71,254.88,138.64
PVi,"Periventricular hypothalamic nucleus, intermediate part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular zone,"Periventricular hypothalamic nucleus, intermediate part",,,,59.64,27.22,140.52,420.44,107.0,200.39,288.72,188.31,392.64,231.51,171.77,411.73,191.57,260.56,657.06,247.11,430.77,327.83,348.55,269.07,235.29,158.36,216.79,894.56,239.48,520.56,307.98,318.89,183.66,281.16,163.65,288.41,232.94,107.95,134.44,169.05,123.96,132.13,114.39,79.01
ARH,Arcuate hypothalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular zone,Arcuate hypothalamic nucleus,,,,30.21,1.94,70.27,393.07,39.98,223.65,178.88,143.69,94.5,376.0,240.29,312.03,77.64,70.48,110.18,137.75,223.36,232.61,246.3,199.15,235.49,108.05,317.66,389.62,73.44,265.43,133.1,127.33,128.22,290.58,76.73,161.22,52.96,101.19,117.05,105.66,95.42,54.99,44.58,51.27
ADP,Anterodorsal preoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Anterodorsal preoptic nucleus,,,,168.41,61.55,597.1,754.4,238.4,304.62,440.25,676.18,376.22,684.43,569.03,607.9,630.63,235.1,869.57,385.59,734.68,1414.06,907.48,807.78,383.79,526.69,467.84,1397.88,561.88,1309.75,579.67,584.22,404.78,705.79,625.2,815.21,425.68,287.9,360.56,475.34,39.8,78.95,250.74,178.29
AVP,Anteroventral preoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Anteroventral preoptic nucleus,,,,27.53,25.77,286.07,420.28,145.37,71.64,219.14,457.58,248.78,265.6,198.32,436.33,403.04,337.03,707.89,170.65,359.22,678.97,507.93,316.35,108.22,219.15,164.71,684.29,402.09,935.02,543.46,447.3,72.65,255.17,298.85,408.6,397.49,169.84,201.04,42.83,11.44,20.19,73.82,52.31
AVPV,Anteroventral periventricular nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Anteroventral periventricular nucleus,,,,111.54,39.45,293.0,535.96,314.54,155.92,263.87,419.15,275.5,426.24,278.06,399.35,348.6,170.23,690.58,234.97,557.67,982.28,441.14,457.53,300.29,473.99,267.52,650.13,294.7,623.82,519.2,612.97,349.91,397.65,511.27,437.46,202.91,231.56,174.64,98.9,248.06,28.9,306.99,256.12
DMH,Dorsomedial nucleus of the hypothalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Dorsomedial nucleus of the hypothalamus,,,,179.11,104.21,260.97,609.42,133.8,528.09,331.69,434.25,449.73,751.14,354.61,588.76,256.92,195.01,514.06,340.5,454.47,565.65,492.69,276.52,321.21,243.82,282.77,974.6,425.96,506.84,446.9,421.95,141.34,468.44,203.06,526.8,238.79,283.98,200.9,271.78,135.86,238.89,219.58,169.18
MEPO,Median preoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Median preoptic nucleus,,,,252.92,117.61,634.66,921.23,610.74,272.4,350.57,453.44,265.41,497.15,258.41,457.91,409.2,130.47,681.57,367.9,779.54,1784.57,918.41,701.81,702.29,345.86,432.58,1815.66,511.36,1522.07,746.28,533.42,372.87,810.81,538.5,639.6,372.59,258.27,239.18,280.95,91.51,183.51,375.84,314.02
MPO,Medial preoptic area,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Medial preoptic area,,,,71.93,31.58,354.03,476.7,175.85,206.76,338.64,452.4,257.44,285.82,293.2,457.83,305.24,130.29,660.04,360.17,384.87,769.47,473.77,351.9,157.69,202.01,270.87,842.59,307.73,686.31,372.12,333.28,64.04,363.91,302.9,335.76,349.18,154.84,237.33,87.06,36.91,71.76,124.23,120.88
OV,Vascular organ of the lamina terminalis,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Vascular organ of the lamina terminalis,,,,149.24,61.0,540.6,435.48,139.17,76.75,307.49,274.05,358.01,438.78,415.68,361.95,749.18,,983.04,0.0,611.11,2252.5,429.3,361.01,81.95,226.1,433.47,1770.39,356.69,,709.31,377.94,714.56,223.6,335.11,0.0,39.74,118.47,98.41,184.15,722.97,24.22,0.0,260.63
PD,Posterodorsal preoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Posterodorsal preoptic nucleus,,,,181.16,52.46,155.42,473.38,140.2,158.72,,262.58,490.64,137.5,531.68,196.42,453.41,233.97,680.78,137.23,69.26,206.17,380.38,138.42,28.31,0.0,191.05,137.38,164.94,507.82,66.03,379.86,109.69,515.1,102.66,28.84,63.7,23.64,483.23,180.58,64.81,133.87,0.0,243.48
PS,Parastrial nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Parastrial nucleus,,,,60.1,108.74,320.56,492.56,213.28,195.06,303.97,569.12,462.36,392.68,331.39,483.24,454.99,222.8,364.5,317.82,488.16,699.15,483.36,406.52,241.95,399.31,241.64,983.1,317.31,680.73,578.31,408.49,47.55,420.19,271.22,504.35,301.36,76.89,221.4,158.94,22.66,92.69,204.76,169.42
PVp,"Periventricular hypothalamic nucleus, posterior part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,"Periventricular hypothalamic nucleus, posterior part",,,,38.49,0.0,42.89,176.49,75.58,132.04,193.83,70.46,145.69,312.31,98.52,106.28,73.38,67.93,221.58,98.64,330.86,162.04,197.31,79.41,62.81,84.82,144.88,250.52,205.3,92.35,113.26,220.02,150.08,192.91,147.42,237.46,148.35,97.35,4.47,83.98,76.8,66.44,20.64,9.12
PVpo,"Periventricular hypothalamic nucleus, preoptic part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,"Periventricular hypothalamic nucleus, preoptic part",,,,84.98,59.8,213.01,468.64,232.22,270.13,299.34,431.1,193.58,423.42,603.92,396.58,350.71,204.58,929.16,163.43,406.41,668.89,270.09,325.21,205.95,296.88,267.05,1105.16,396.26,1479.39,587.22,473.91,266.26,647.33,443.11,332.41,359.84,283.61,196.53,314.65,168.37,60.26,155.04,164.62
SBPV,Subparaventricular zone,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Subparaventricular zone,,,,357.22,222.89,420.26,696.47,465.47,627.32,620.39,519.76,1272.17,915.25,582.97,1532.98,957.83,545.22,843.46,1285.93,692.91,965.96,764.89,1046.17,607.94,489.42,627.45,2031.19,566.47,1216.13,913.2,622.98,339.7,1133.87,654.37,508.64,790.89,626.67,475.46,427.11,236.68,41.02,251.09,334.32
SCH,Suprachiasmatic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Suprachiasmatic nucleus,,,,768.39,281.1,1245.82,1070.11,1228.81,1533.88,1874.73,1565.95,1459.86,1139.61,1935.27,1756.08,1494.15,125.32,3498.36,1183.0,2661.84,3186.65,2236.92,2083.32,2351.58,1302.18,2000.21,3700.05,1418.23,1912.64,1593.64,1101.78,1738.71,1549.48,1499.84,817.06,2016.09,1690.88,1560.69,871.19,661.89,153.5,1046.03,987.48
SFO,Subfornical organ,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Subfornical organ,,,,0.0,,0.0,0.0,7.66,0.0,0.0,0.0,0.0,0.0,0.0,21.87,0.0,1169.32,0.0,0.0,28.45,0.0,84.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.18,8.77,0.0,0.0,7.87,33.73,67.85,8.57,,12.13,0.0,0.0,15.79
VMPO,Ventromedial preoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Ventromedial preoptic nucleus,,,,158.75,29.85,310.78,632.8,260.77,234.04,313.46,585.29,324.91,209.47,426.85,164.96,112.31,187.09,565.23,119.9,442.32,693.83,240.12,355.47,204.75,386.81,179.29,484.85,328.14,1401.04,474.62,384.22,447.12,208.27,499.73,325.02,467.32,384.09,409.16,27.47,247.74,54.1,87.66,141.13
VLPO,Ventrolateral preoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Periventricular region,Ventrolateral preoptic nucleus,,,,58.54,45.14,136.24,234.05,218.93,38.86,225.37,417.27,213.65,468.62,98.23,119.53,185.14,227.34,619.08,102.41,301.4,562.86,410.83,167.48,166.62,396.68,110.04,169.01,294.43,325.56,512.44,343.68,347.84,141.04,302.52,370.1,308.18,139.75,369.96,5.03,116.71,85.25,122.5,162.96
AHN,Anterior hypothalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Anterior hypothalamic nucleus,,,,138.52,189.88,358.73,412.95,178.41,222.07,374.44,409.1,502.32,338.83,245.07,706.76,402.81,252.27,627.84,445.82,329.96,633.82,545.54,415.85,236.51,177.76,298.99,985.58,308.83,657.52,313.98,406.46,107.45,359.96,230.84,345.89,308.9,308.89,245.32,218.99,86.38,229.34,206.34,196.5
LM,Lateral mammillary nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Lateral mammillary nucleus,,,35.96,4.47,251.0,207.17,16.3,41.23,95.72,36.29,346.93,101.37,142.88,36.94,7.08,132.42,258.83,159.69,53.03,117.91,181.74,265.47,7.31,61.01,118.01,149.71,15.07,12.04,31.27,230.34,12.43,121.19,24.81,15.39,40.77,0.0,13.34,8.23,0.0,15.36,34.63,0.0
MMme,"Medial mammillary nucleus, median part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Medial mammillary nucleus,"Medial mammillary nucleus, median part",,10.64,20.83,121.49,247.6,126.04,7.77,141.99,90.88,431.5,230.71,39.81,291.54,75.66,191.95,1040.82,178.06,123.55,217.86,236.25,230.9,43.33,122.83,166.72,438.74,3.75,9.89,127.77,355.57,79.61,163.68,93.4,157.26,87.54,89.24,21.31,33.11,0.0,167.1,117.78,28.61
MMl,"Medial mammillary nucleus, lateral part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Medial mammillary nucleus,"Medial mammillary nucleus, lateral part",,36.23,11.64,113.51,298.02,47.15,55.56,85.22,160.83,347.53,94.21,58.8,140.57,24.0,95.93,813.16,189.11,124.12,90.86,226.49,262.68,36.94,77.69,105.15,275.75,25.48,229.97,193.02,193.97,44.54,129.44,164.19,138.95,40.92,91.53,174.96,16.05,10.2,95.61,26.51,17.07
MMm,"Medial mammillary nucleus, medial part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Medial mammillary nucleus,"Medial mammillary nucleus, medial part",,1.73,2.21,209.76,325.6,99.78,43.16,99.86,121.67,296.83,99.98,79.89,324.45,15.71,220.65,809.37,238.86,242.44,59.16,326.08,235.51,34.52,51.31,126.1,264.03,4.49,137.01,101.21,317.68,65.48,77.5,20.91,176.62,73.19,23.23,78.19,19.05,8.77,76.47,33.22,6.98
MMp,"Medial mammillary nucleus, posterior part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Medial mammillary nucleus,"Medial mammillary nucleus, posterior part",,44.9,0.0,64.25,64.62,5.23,0.0,0.0,0.0,,0.0,5.37,,0.0,0.0,542.65,38.3,11.09,37.78,39.47,33.42,0.0,0.0,29.5,113.86,0.0,147.22,243.35,281.88,23.51,0.0,625.59,,47.67,249.25,0.0,0.0,16.79,0.0,9.82,
MMd,"Medial mammillary nucleus, dorsal part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Medial mammillary nucleus,"Medial mammillary nucleus, dorsal part",,49.88,23.41,87.7,234.94,35.62,36.14,21.28,6.36,208.35,136.89,7.44,35.56,3.33,229.07,298.59,63.23,103.39,27.68,29.75,53.8,0.0,0.0,96.76,229.37,6.84,246.41,52.81,287.46,30.33,11.3,210.38,267.91,16.59,143.59,4.72,8.9,1.83,236.58,36.28,86.18
SUM,Supramammillary nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Supramammillary nucleus,,,164.75,163.3,269.13,349.36,126.89,394.11,232.74,466.14,324.04,452.02,220.64,405.14,93.23,324.13,824.7,274.12,412.17,270.82,335.51,244.98,215.43,150.91,173.85,413.41,159.51,252.45,139.27,392.19,84.83,230.77,241.97,377.9,208.9,291.58,292.01,320.53,73.72,171.74,152.75,154.37
TMd,"Tuberomammillary nucleus, dorsal part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Tuberomammillary nucleus,"Tuberomammillary nucleus, dorsal part",,10.93,56.99,478.28,1024.24,120.91,58.44,783.15,629.95,456.96,377.05,120.91,478.68,283.18,277.64,202.48,374.75,1038.64,196.99,851.64,678.18,522.63,78.25,832.91,1124.44,39.63,307.64,524.11,607.16,62.34,956.82,471.61,180.79,347.01,10.23,73.01,347.2,165.99,33.01,32.81,169.96
TMv,"Tuberomammillary nucleus, ventral part",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Mammillary body,Tuberomammillary nucleus,"Tuberomammillary nucleus, ventral part",,6.56,6.1,93.12,171.33,80.87,228.24,149.93,91.32,122.9,624.95,57.84,0.0,116.59,122.63,138.21,50.81,44.78,186.44,122.81,47.02,59.6,62.61,74.78,423.47,175.35,281.9,141.28,243.61,61.9,66.06,132.93,179.85,75.33,141.17,33.83,2.05,10.83,56.81,47.28,29.35
MPN,Medial preoptic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Medial preoptic nucleus,,,,53.75,35.15,170.2,367.79,159.3,208.5,182.31,283.93,402.15,312.28,429.51,344.28,182.67,156.03,451.47,302.81,221.91,510.76,252.21,305.07,174.23,177.28,243.36,642.18,189.66,757.31,285.26,272.04,102.6,299.0,173.06,292.02,304.62,144.18,152.68,208.09,65.61,43.57,28.1,95.72
PMd,Dorsal premammillary nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Dorsal premammillary nucleus,,,,26.29,21.5,323.35,411.47,87.69,75.47,272.22,216.68,229.88,164.74,127.18,368.7,48.51,239.42,616.9,219.72,188.78,95.11,401.59,412.42,25.2,76.97,304.0,557.17,120.1,84.41,165.66,279.53,52.41,210.93,70.87,309.53,57.76,29.76,127.13,37.75,17.71,92.14,39.47,110.68
PMv,Ventral premammillary nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Ventral premammillary nucleus,,,,31.37,22.45,182.31,391.39,126.42,151.89,243.0,229.48,108.95,384.94,114.59,294.38,109.49,143.77,131.39,134.0,303.37,172.71,338.16,233.35,95.03,68.34,239.68,367.18,210.93,288.12,204.33,272.55,34.25,171.02,253.05,227.07,92.95,133.34,38.61,52.55,31.03,165.47,160.86,103.7
PVHd,"Paraventricular hypothalamic nucleus, descending division",root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,"Paraventricular hypothalamic nucleus, descending division",,,,165.33,193.85,315.52,503.75,159.1,440.9,410.32,472.55,820.45,527.08,238.46,336.31,158.29,301.22,892.62,407.57,415.87,329.86,576.15,288.36,173.77,139.18,327.03,1185.37,299.93,636.94,427.84,500.31,132.43,513.63,274.96,430.55,250.35,214.69,349.32,283.57,80.54,208.79,254.92,189.06
VMH,Ventromedial hypothalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Ventromedial hypothalamic nucleus,,,,52.44,11.53,99.06,315.03,24.18,176.41,117.57,115.77,132.09,158.92,70.07,171.89,60.69,80.82,184.95,166.62,111.53,134.19,217.54,123.0,31.21,52.33,74.08,462.76,180.31,314.62,293.63,134.32,65.66,129.94,66.99,160.12,40.61,74.21,16.16,35.76,12.77,147.65,69.28,58.99
PH,Posterior hypothalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic medial zone,Posterior hypothalamic nucleus,,,,206.84,146.54,428.84,592.63,239.54,473.98,523.25,530.52,444.85,701.48,455.85,684.49,317.01,412.09,1058.89,405.14,548.02,560.41,510.94,474.28,282.13,327.89,386.12,948.6,391.41,411.58,416.73,436.85,179.66,404.1,326.12,540.72,331.64,410.4,352.23,372.15,130.9,114.72,298.86,354.88
LHA,Lateral hypothalamic area,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Lateral hypothalamic area,,,,35.07,27.98,186.58,273.92,58.71,179.38,158.51,199.81,382.5,263.19,108.34,323.83,124.06,136.03,360.46,205.9,207.75,160.41,277.18,228.73,71.64,79.67,127.75,473.53,113.72,277.67,196.54,236.5,35.55,199.29,106.15,215.89,109.46,91.73,106.5,91.94,5.5,128.21,75.69,82.44
LPO,Lateral preoptic area,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Lateral preoptic area,,,,27.09,18.89,248.44,323.03,101.0,143.37,230.46,345.98,293.64,234.03,147.96,433.04,180.13,130.75,578.45,256.01,367.78,360.37,343.29,206.13,55.81,103.21,162.38,632.92,106.37,454.66,200.32,283.99,37.38,219.07,126.49,284.47,174.0,87.54,112.21,58.76,2.79,79.07,73.65,112.04
PST,Preparasubthalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Preparasubthalamic nucleus,,,,59.95,0.0,443.92,624.68,324.02,198.99,343.34,255.06,,375.34,124.47,419.0,152.69,121.86,218.5,143.11,186.46,28.01,,571.59,0.0,144.53,230.06,659.74,128.53,597.13,289.65,277.23,39.22,351.25,159.91,183.54,198.52,26.89,249.85,202.59,0.0,247.32,173.18,86.25
PSTN,Parasubthalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Parasubthalamic nucleus,,,,70.86,12.63,387.98,351.17,33.93,167.06,299.42,221.58,313.54,364.97,133.73,349.9,191.48,193.14,836.35,419.54,214.42,209.61,278.94,378.44,165.2,327.92,241.7,782.27,165.12,284.34,317.97,316.02,147.16,242.05,159.28,370.51,158.01,80.28,197.52,91.57,8.3,366.73,200.59,112.7
PeF,Perifornical nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Perifornical nucleus,,,,44.4,60.17,231.63,318.19,67.07,298.18,249.01,335.37,386.79,300.9,292.84,365.37,224.49,209.61,671.02,357.04,331.54,392.22,343.23,359.38,153.78,92.37,223.85,722.38,166.14,454.91,315.71,272.28,15.86,244.21,117.08,357.81,183.17,188.46,127.59,170.35,23.36,166.94,90.04,112.51
RCH,Retrochiasmatic area,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Retrochiasmatic area,,,,16.97,9.15,47.8,106.61,19.67,70.98,94.18,160.03,198.98,129.42,53.82,135.26,168.4,14.81,237.85,214.13,117.59,300.37,263.22,180.57,88.99,32.23,142.43,406.24,70.19,195.76,47.81,86.05,47.97,159.64,55.64,83.94,84.9,108.85,63.24,51.02,19.74,13.62,63.61,19.37
STN,Subthalamic nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Subthalamic nucleus,,,,0.0,0.0,67.62,203.31,2.18,50.52,20.34,39.17,196.79,182.67,43.91,499.23,11.13,115.35,227.9,25.97,25.35,11.22,63.04,147.03,13.97,63.2,23.96,170.75,17.15,44.91,51.99,132.07,10.09,46.88,2.6,46.26,20.54,0.0,12.72,13.53,0.0,48.38,12.27,2.05
TU,Tuberal nucleus,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Tuberal nucleus,,,,21.43,11.81,62.74,130.86,16.89,121.47,67.81,72.97,135.46,197.91,31.08,155.51,99.49,113.09,151.39,110.51,115.84,129.9,133.12,106.52,42.72,19.01,103.77,256.94,76.51,150.6,140.26,131.71,33.81,95.8,35.67,83.22,51.83,66.08,53.76,8.7,13.76,29.74,55.66,68.82
FF,Fields of Forel,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Hypothalamic lateral zone,Zona incerta,Fields of Forel,,,24.76,35.48,136.2,246.77,7.89,103.88,148.84,159.49,340.53,333.77,86.05,355.98,113.61,203.54,666.43,159.78,198.08,102.77,304.72,287.33,8.35,167.55,189.3,536.89,75.99,103.91,105.09,228.86,34.11,242.99,61.85,261.95,51.35,32.77,58.03,98.72,2.06,2.61,34.19,45.63
ME,Median eminence,root,Basic cell groups and regions,Brain stem,Interbrain,Hypothalamus,Median eminence,,,,,0.0,27.3,36.16,220.5,56.01,24.02,111.14,25.11,16.49,144.16,228.56,122.49,16.52,18.85,97.71,19.67,511.92,105.0,91.69,49.85,155.87,163.5,72.65,147.65,26.95,20.4,33.44,148.07,108.47,157.5,45.3,50.82,68.55,134.08,10.84,14.98,78.02,49.44,3.65,15.0
