Acronym,Brain Region,Level_0,Level_1,Level_2,Level_3,Level_4,Level_5,Level_6,Level_7,Level_8,Level_9,mouse_id,density
AAA,Anterior amygdalar area,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum-like amygdalar nuclei,Anterior amygdalar area,,,,1000,17.23
BA,Bed nucleus of the accessory olfactory tract,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum-like amygdalar nuclei,Bed nucleus of the accessory olfactory tract,,,,1000,64.01
CEAc,"Central amygdalar nucleus, capsular part",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum-like amygdalar nuclei,Central amygdalar nucleus,"Central amygdalar nucleus, capsular part",,,1000,9.0
CEAl,"Central amygdalar nucleus, lateral part",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum-like amygdalar nuclei,Central amygdalar nucleus,"Central amygdalar nucleus, lateral part",,,1000,26.31
CEAm,"Central amygdalar nucleus, medial part",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum-like amygdalar nuclei,Central amygdalar nucleus,"Central amygdalar nucleus, medial part",,,1000,14.87
IA,Intercalated amygdalar nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum-like amygdalar nuclei,Intercalated amygdalar nucleus,,,,1000,14.56
MEA,Medial amygdalar nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Striatum,Striatum-like amygdalar nuclei,Medial amygdalar nucleus,,,,1000,21.35
GPe,"Globus pallidus, external segment",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, dorsal region","Globus pallidus, external segment",,,,1000,0.86
GPi,"Globus pallidus, internal segment",root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, dorsal region","Globus pallidus, internal segment",,,,1000,6.38
SI,Substantia innominata,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, ventral region",Substantia innominata,,,,1000,4.62
MA,Magnocellular nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, ventral region",Magnocellular nucleus,,,,1000,6.53
MS,Medial septal nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, medial region",Medial septal complex,Medial septal nucleus,,,1000,7.05
NDB,Diagonal band nucleus,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, medial region",Medial septal complex,Diagonal band nucleus,,,1000,28.16
TRS,Triangular nucleus of septum,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, medial region",Triangular nucleus of septum,,,,1000,25.63
BST,Bed nuclei of the stria terminalis,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, caudal region",Bed nuclei of the stria terminalis,,,,1000,54.73
BAC,Bed nucleus of the anterior commissure,root,Basic cell groups and regions,Cerebrum,Cerebral nuclei,Pallidum,"Pallidum, caudal region",Bed nucleus of the anterior commissure,,,,1000,0.0
VAL,Ventral anterior-lateral complex of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,Ventral anterior-lateral complex of the thalamus,,,1000,3.48
VM,Ventral medial nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,Ventral medial nucleus of the thalamus,,,1000,16.76
VPL,Ventral posterolateral nucleus of the thalamus,root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,Ventral posterior complex of the thalamus,Ventral posterolateral nucleus of the thalamus,,1000,13.68
VPLpc,"Ventral posterolateral nucleus of the thalamus, parvicellular part",root,Basic cell groups and regions,Brain stem,Interbrain,Thalamus,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,Ventral posterior complex of the thalamus,"Ventral posterolateral nucleus of the thalamus, parvicellular part",,1000,74.44
